name,text,type,manaCost,convertedManaCost
Embereth Paladin,"Haste
Adamant — If at least three red mana was spent to cast this spell, Embereth Paladin enters the battlefield with a +1/+1 counter on it.",Creature — Human Knight,{3}{R},4
Embereth Shieldbreaker,,Creature — Human Knight,{1}{R},2
Embereth Skyblazer,"As long as it's your turn, Embereth Skyblazer has flying.
Whenever Embereth Skyblazer attacks, you may pay {2}{R}. If you do, creatures you control get +X/+0 until end of turn, where X is the number of opponents you have.",Creature — Human Knight,{3}{R},4
Emberhorn Minotaur,"You may exert Emberhorn Minotaur as it attacks. When you do, it gets +1/+1 and gains menace until end of turn. (An exerted creature won't untap during your next untap step.)",Creature — Minotaur Warrior,{3}{R},4
Embermage Goblin,"When Embermage Goblin enters the battlefield, you may search your library for a card named Embermage Goblin, reveal it, and put it into your hand. If you do, shuffle your library.
{T}: Embermage Goblin deals 1 damage to any target.",Creature — Goblin Wizard,{3}{R},4
Embermaw Hellion,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
If another red source you control would deal damage to a permanent or player, it deals that much damage plus 1 to that permanent or player instead.",Creature — Hellion,{3}{R}{R},5
Embersmith,"Whenever you cast an artifact spell, you may pay {1}. If you do, Embersmith deals 1 damage to any target.",Creature — Human Artificer,{1}{R},2
Emberstrike Duo,"Whenever you cast a black spell, Emberstrike Duo gets +1/+1 until end of turn.
Whenever you cast a red spell, Emberstrike Duo gains first strike until end of turn.",Creature — Elemental Warrior Shaman,{1}{B/R},2
Emberwilde Augur,Sacrifice Emberwilde Augur: It deals 3 damage to target player or planeswalker. Activate this ability only during your upkeep.,Creature — Goblin Shaman,{1}{R},2
Emberwilde Caliph,"Flying, trample
Emberwilde Caliph attacks each combat if able.
Whenever Emberwilde Caliph deals damage, you lose that much life.",Creature — Djinn,{2}{U}{R},4
Emberwilde Djinn,"Flying
At the beginning of each player's upkeep, that player may pay {R}{R} or 2 life. If the player does, they gain control of Emberwilde Djinn.",Creature — Djinn,{2}{R}{R},4
Emblazoned Golem,"Kicker {X} (You may pay an additional {X} as you cast this spell.)
Spend only colored mana on X. No more than one mana of each color may be spent this way.
If Emblazoned Golem was kicked, it enters the battlefield with X +1/+1 counters on it.",Artifact Creature — Golem,{2},2
Emblem of the Warmind,"Enchant creature you control
Creatures you control have haste.",Enchantment — Aura,{1}{R},2
Embodiment of Agonies,"Flying, deathtouch
Embodiment of Agonies enters the battlefield with a +1/+1 counter on it for each different mana cost among nonland cards in your graveyard. (For example, {2}{B} and {1}{B}{B} are different mana costs.)",Creature — Demon,{1}{B}{B},3
Embodiment of Fury,"Trample
Land creatures you control have trample.
Landfall — Whenever a land enters the battlefield under your control, you may have target land you control become a 3/3 Elemental creature with haste until end of turn. It's still a land.",Creature — Elemental,{3}{R},4
Embodiment of Insight,"Vigilance
Land creatures you control have vigilance.
Landfall — Whenever a land enters the battlefield under your control, you may have target land you control become a 3/3 Elemental creature with haste until end of turn. It's still a land.",Creature — Elemental,{4}{G},5
Embodiment of Spring,"{1}{G}, {T}, Sacrifice Embodiment of Spring: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",Creature — Elemental,{U},1
Embolden,"Prevent the next 4 damage that would be dealt this turn to any number of targets, divided as you choose.
Flashback {1}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Instant,{2}{W},3
Embraal Bruiser,"Embraal Bruiser enters the battlefield tapped.
Embraal Bruiser has menace as long as you control an artifact.",Creature — Human Warrior,{1}{B},2
Embraal Gear-Smasher,"{T}, Sacrifice an artifact: Embraal Gear-Smasher deals 2 damage to each opponent.",Creature — Human Warrior,{2}{R},3
Embrace My Diabolical Vision,"When you set this scheme in motion, each player shuffles their hand and graveyard into their library. You draw seven cards, then each other player draws four cards.",Scheme,,0
Emcee,"Whenever another creature enters the battlefield, you may stand up and say in a deep, booming voice, ""Presenting . . . "" and that creature's name. If you do, put a +1/+1 counter on that creature.",Creature — Human Rogue,{2}{W},3
Emerald Charm,"Choose one —
• Untap target permanent.
• Destroy target non-Aura enchantment.
• Target creature loses flying until end of turn.",Instant,{G},1
Emerald Dragonfly,"Flying
{G}{G}: Emerald Dragonfly gains first strike until end of turn.",Creature — Insect,{1}{G},2
Emerald Medallion,Green spells you cast cost {1} less to cast.,Artifact,{2},2
Emerald Oryx,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.),Creature — Antelope,{3}{G},4
Emerge Unscathed,"Target creature you control gains protection from the color of your choice until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",Instant,{W},1
Emergence Zone,"{T}: Add {C}.
{1}, {T}, Sacrifice Emergence Zone: You may cast spells this turn as though they had flash.",Land,,0
Emergency Powers,"Each player shuffles their hand and graveyard into their library, then draws seven cards. Exile Emergency Powers.
Addendum — If you cast this spell during your main phase, you may put a permanent card with converted mana cost 7 or less from your hand onto the battlefield.",Instant,{5}{W}{U},7
Emergent Growth,Target creature gets +5/+5 until end of turn and must be blocked this turn if able.,Sorcery,{3}{G},4
Emeria Angel,"Flying
Landfall — Whenever a land enters the battlefield under your control, you may create a 1/1 white Bird creature token with flying.",Creature — Angel,{2}{W}{W},4
Emeria Shepherd,"Flying
Landfall — Whenever a land enters the battlefield under your control, you may return target nonland permanent card from your graveyard to your hand. If that land is a Plains, you may return that nonland permanent card to the battlefield instead.",Creature — Angel,{5}{W}{W},7
"Emeria, the Sky Ruin","Emeria, the Sky Ruin enters the battlefield tapped.
At the beginning of your upkeep, if you control seven or more Plains, you may return target creature card from your graveyard to the battlefield.
{T}: Add {W}.",Land,,0
Emissary of Despair,"Flying
Whenever Emissary of Despair deals combat damage to a player, that player loses 1 life for each artifact they control.",Creature — Spirit,{1}{B}{B},3
Emissary of Grudges,"Flying, haste
As Emissary of Grudges enters the battlefield, secretly choose an opponent.
Reveal the player you chose: Choose new targets for target spell or ability if it's controlled by the chosen player and if it targets you or a permanent you control. Activate this ability only once.",Creature — Efreet,{5}{R},6
Emissary of Hope,"Flying
Whenever Emissary of Hope deals combat damage to a player, you gain 1 life for each artifact that player controls.",Creature — Spirit,{1}{W}{W},3
Emissary of Sunrise,"First strike
When Emissary of Sunrise enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",Creature — Human Cleric,{2}{W},3
Emissary of the Sleepless,"Flying
When Emissary of the Sleepless enters the battlefield, if a creature died this turn, create a 1/1 white Spirit creature token with flying.",Creature — Spirit,{4}{W},5
Emissary's Ploy,"(Start the game with this conspiracy face up in the command zone.)
Before drawing your opening hand, choose 1, 2, or 3.
You may spend mana as though it were mana of any color to cast creature spells with converted mana cost equal to the chosen number.",Conspiracy,,0
Emmara Tandris,Prevent all damage that would be dealt to creature tokens you control.,Legendary Creature — Elf Shaman,{5}{G}{W},7
"Emmara, Soul of the Accord","Whenever Emmara, Soul of the Accord becomes tapped, create a 1/1 white Soldier creature token with lifelink.",Legendary Creature — Elf Cleric,{G}{W},2
Emmessi Tome,"{5}, {T}: Draw two cards, then discard a card.",Artifact,{4},4
Emperor Crocodile,"When you control no other creatures, sacrifice Emperor Crocodile.",Creature — Crocodile,{3}{G},4
Emperor's Vanguard,"Whenever Emperor's Vanguard deals combat damage to a player, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",Creature — Human Scout,{3}{G},4
Empowered Autogenerator,"Empowered Autogenerator enters the battlefield tapped.
{T}: Put a charge counter on Empowered Autogenerator. Add X mana of any one color, where X is the number of charge counters on Empowered Autogenerator.",Artifact,{4},4
Empress Galina,"{U}{U}, {T}: Gain control of target legendary permanent. (This effect lasts indefinitely.)",Legendary Creature — Merfolk Noble,{3}{U}{U},5
Empty City Ruse,Target opponent skips all combat phases of their next turn.,Sorcery,{W},1
Empty the Catacombs,Each player returns all creature cards from their graveyard to their hand.,Sorcery,{3}{B},4
Empty the Pits,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Create X tapped 2/2 black Zombie creature tokens.",Instant,{X}{X}{B}{B}{B}{B},4
Empty the Warrens,"Create two 1/1 red Goblin creature tokens.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)",Sorcery,{3}{R},4
Empty-Shrine Kannushi,Empty-Shrine Kannushi has protection from the colors of permanents you control.,Creature — Human Cleric,{W},1
Empyreal Voyager,"Flying, trample
Whenever Empyreal Voyager deals combat damage to a player, you get that many {E} (energy counters).",Creature — Vedalken Scout,{1}{G}{U},3
Empyrean Eagle,"Flying
Other creatures you control with flying get +1/+1.",Creature — Bird Spirit,{1}{W}{U},3
Empyrial Archangel,"Flying
Shroud (This creature can't be the target of spells or abilities.)
All damage that would be dealt to you is dealt to Empyrial Archangel instead.",Creature — Angel,{4}{G}{W}{W}{U},8
Empyrial Armor,"Enchant creature
Enchanted creature gets +1/+1 for each card in your hand.",Enchantment — Aura,{1}{W}{W},3
Empyrial Plate,"Equipped creature gets +1/+1 for each card in your hand.
Equip {2}",Artifact — Equipment,{2},2
Empyrial Storm,"When you cast this spell, copy it for each time you've cast your commander from the command zone this game.
Create a 4/4 white Angel creature token with flying.",Sorcery,{4}{W}{W},6
Emrakul's Evangel,"{T}, Sacrifice Emrakul's Evangel and any number of other non-Eldrazi creatures: Create a 3/2 colorless Eldrazi Horror creature token for each creature sacrificed this way.",Creature — Human Horror,{2}{G},3
Emrakul's Hatcher,"When Emrakul's Hatcher enters the battlefield, create three 0/1 colorless Eldrazi Spawn creature tokens. They have ""Sacrifice this creature: Add {C}.""",Creature — Eldrazi Drone,{4}{R},5
Emrakul's Influence,"Whenever you cast an Eldrazi creature spell with converted mana cost 7 or greater, draw two cards.",Enchantment,{2}{G}{G},4
"Emrakul, the Aeons Torn","This spell can't be countered.
When you cast this spell, take an extra turn after this one.
Flying, protection from colored spells, annihilator 6
When Emrakul, the Aeons Torn is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.",Legendary Creature — Eldrazi,{15},15
"Emrakul, the Promised End","This spell costs {1} less to cast for each card type among cards in your graveyard.
When you cast this spell, you gain control of target opponent during that player's next turn. After that turn, that player takes an extra turn.
Flying, trample, protection from instants",Legendary Creature — Eldrazi,{13},13
"Emry, Lurker of the Loch","This spell costs {1} less to cast for each artifact you control.
When Emry, Lurker of the Loch enters the battlefield, put the top four cards of your library into your graveyard.
{T}: Choose target artifact card in your graveyard. You may cast that card this turn. (You still pay its costs. Timing rules still apply.)",Legendary Creature — Merfolk Wizard,{2}{U},3
